cuisine,dish_name
bengali,Machher Jhol
bengali,Shorshe Ilish
bengali,Chingri Malaikari
bengali,Kosha Mangsho
bengali,Chicken Rezala
bengali,Doi Katla
bengali,Katla Kalia
bengali,Rui Kalia
bengali,Bhetki Paturi
bengali,Chingri Bhape
bengali,Ilish Bhapa
bengali,Dimer Dalna
bengali,Dim Posto
bengali,Murgir Jhol
bengali,Murgir Lal Jhol
bengali,Dak Bungalow Chicken
bengali,Chitol Muitha
bengali,Pabda Machher Jhal
bengali,Tangra Machher Jhol
bengali,Koi Machher Tel Jhal
bengali,Parshe Machher Jhal
bengali,Mourala Machher Chorchori
bengali,Topshe Machh Bhaja
bengali,Fish Kabiraji
bengali,Kolkata Chicken Biryani
bengali,Kolkata Mutton Biryani
bengali,Basanti Pulao
bengali,Ghee Bhaat
bengali,Bhoger Khichuri
bengali,Moong Dal Khichuri
bengali,Luchi
bengali,Koraishutir Kochuri
bengali,Radhaballabhi
bengali,Dhakai Paratha
bengali,Alu Posto
bengali,Shukto
bengali,Cholar Dal
bengali,Dhokar Dalna
bengali,Niramish Alur Dom
bengali,Labra
bengali,Begun Bhaja
bengali,Mochar Ghonto
bengali,Palong Shaaker Ghonto
bengali,Sheemer Bhorta
bengali,Potoler Dolma
bengali,Palong Shaak Bhaja
bengali,Jhuri Alu Bhaja
bengali,Korola Bhaja
bengali,Aloo Bhorta
bengali,Aloo Potol
bengali,Bhindi Bhaja
bengali,Aloo Capsicum Fry
bengali,Chorchori
bengali,Panchmishali Tarkari
bengali,Bandhakopir Ghonto
bengali,Phulkopir Dalna
bengali,Enchorer Dalna
bengali,Kanchkolar Kofta
bengali,Bori Diye Lau Ghonto
bengali,Lau Chingri
bengali,Pui Shaak Chorchori
bengali,Kumro Chokka
bengali,Postor Bora
bengali,Beguni
bengali,Phuluri
bengali,Dal Bora
bengali,Tomato Khejur Chutney
bengali,Aamer Chutney
bengali,Kuler Chutney
bengali,Kashundi
bengali,Ghugni
bengali,Jhalmuri
bengali,Telebhaja
bengali,Vegetable Chop
bengali,Mochar Chop
bengali,Dimer Devil
bengali,Mughlai Paratha
bengali,Kathi Roll
bengali,Singara
bengali,Kochuri Alur Tarkari
bengali,Rosogolla
bengali,Nolen Gurer Rosogolla
bengali,Malai Chomchom
bengali,Sandesh
bengali,Nolen Gurer Sandesh
bengali,Mishti Doi
bengali,Payesh
bengali,Chaler Payesh
bengali,Patishapta
bengali,Dudh Puli
bengali,Bhapa Pitha
bengali,Malpua
bengali,Mihidana
bengali,Sitabhog
bengali,Langcha
bengali,Kheer Kadam
bengali,Joynagarer Moa
bengali,Chandrapuli
bengali,Narkel Naru
bengali,Taler Bora
punjabi,Sarson da Saag
punjabi,Makki di Roti
punjabi,Dal Makhani
punjabi,Rajma Masala
punjabi,Chole Masala
punjabi,Pindi Chole
punjabi,Amritsari Chole
punjabi,Butter Chicken
punjabi,Tandoori Chicken
punjabi,Chicken Tikka
punjabi,Chicken Tikka Masala
punjabi,Kadai Chicken
punjabi,Chicken Saagwala
punjabi,Dhaba Chicken Curry
punjabi,Amritsari Fish
punjabi,Fish Tikka
punjabi,Tandoori Fish
punjabi,Mutton Curry Punjabi Style
punjabi,Keema Matar
punjabi,Saag Gosht
punjabi,Paneer Butter Masala
punjabi,Shahi Paneer
punjabi,Kadai Paneer
punjabi,Palak Paneer
punjabi,Matar Paneer
punjabi,Paneer Tikka
punjabi,Paneer Bhurji
punjabi,Paneer Lababdar
punjabi,Paneer Do Pyaza
punjabi,Malai Kofta
punjabi,Dal Tadka
punjabi,Dal Fry
punjabi,Chana Dal Tadka
punjabi,Langar Dal
punjabi,Kali Dal
punjabi,Maa Chole di Dal
punjabi,Lobia Masala
punjabi,Kadhi Pakora
punjabi,Punjabi Kadhi
punjabi,Aloo Gobi
punjabi,Aloo Matar
punjabi,Aloo Palak
punjabi,Aloo Baingan
punjabi,Jeera Aloo
punjabi,Dum Aloo Punjabi Style
punjabi,Bhindi Masala
punjabi,Baingan Bharta
punjabi,Bharwa Bhindi
punjabi,Methi Malai Matar
punjabi,Gobi Matar
punjabi,Mushroom Matar
punjabi,Mixed Vegetable Jalfrezi
punjabi,Tinda Masala
punjabi,Lauki Chana Dal
punjabi,Gajar Matar Sabzi
punjabi,Shimla Mirch Aloo
punjabi,Arbi Masala
punjabi,Karela Pyaz
punjabi,Chole Palak
punjabi,Naan
punjabi,Butter Naan
punjabi,Garlic Naan
punjabi,Tandoori Roti
punjabi,Lachha Paratha
punjabi,Aloo Paratha
punjabi,Gobi Paratha
punjabi,Mooli Paratha
punjabi,Paneer Paratha
punjabi,Methi Paratha
punjabi,Missi Roti
punjabi,Amritsari Kulcha
punjabi,Aloo Kulcha
punjabi,Chur Chur Naan
punjabi,Bhatura
punjabi,Poori Chole
punjabi,Jeera Rice
punjabi,Peas Pulao
punjabi,Punjabi Wadi Pulao
punjabi,Khichdi Punjabi Style
punjabi,Chole Bhature
punjabi,Amritsari Kulcha Chole
punjabi,Samosa
punjabi,Paneer Pakora
punjabi,Bread Pakora
punjabi,Aloo Tikki
punjabi,Chana Chaat
punjabi,Dahi Bhalla
punjabi,Papdi Chaat
punjabi,Mathri
punjabi,Namak Para
punjabi,Punjabi Lassi
punjabi,Sweet Lassi
punjabi,Salted Lassi
punjabi,Kheer
punjabi,Gajar ka Halwa
punjabi,Pinni
punjabi,Atta Halwa
punjabi,Phirni
punjabi,Jalebi
punjabi,Gur Rice
